,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
STRK,,35,1961,,0,0,,43,9825,197,201,,45,7864,162,206,,0,0,0,0,,0,0,0,0,
SMBR,,65,1956,,0,0,,77,15496,476,307,,42,13540,411,304,,0,0,0,0,,0,0,0,0,
CDIA,,280,1940,,19,130,,18,2442,353,1445,,19,502,72,1444,,3,130,19,1434,,0,0,0,0,
PMUI,,26,1930,,0,0,,5,1950,26,133,,2,20,0,129,,0,0,0,0,,0,0,0,0,
WAPO,,29,1891,,0,0,,240,30534,636,208,,160,28643,607,212,,0,0,0,0,,0,0,0,0,
AMMS,,35,1880,,0,0,,21,2880,54,189,,2,1000,19,190,,0,0,0,0,,0,0,0,0,
RAAM,,49,1721,,0,0,,347,6631,189,286,,287,4910,140,286,,0,0,0,0,,0,0,0,0,
SMRA,,76,1688,,0,0,,41,1697,76,451,,1,9,0,454,,0,0,0,0,,0,0,0,0,
UNTD,,14,1672,,0,0,,88,9558,80,84,,32,7886,66,84,,0,0,0,0,,0,0,0,0,
SMIL,,62,1651,,0,0,,43,13379,664,496,,37,11728,602,513,,0,0,0,0,,0,0,0,0,
MTFN,,2,1650,,0,0,,4,1650,2,14,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BULL,,26,1600,,0,0,,9,14000,217,155,,15,12400,191,154,,0,0,0,0,,0,0,0,0,
FILM,,572,1523,,0,0,,90,3807,1396,3666,,138,2284,824,3606,,0,0,0,0,,0,0,0,0,
CBDK,,950,1509,,0,0,,43,1783,1122,6295,,8,274,173,6311,,0,0,0,0,,0,0,0,0,
JAST,,15,1500,,0,0,,2,1500,15,102,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MANG-W,,5,1500,,0,0,,6,1500,5,33,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TARA,,5,1386,,0,0,,2,1386,5,33,,0,0,0,0,,0,0,0,0,,0,0,0,0,
