,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
IRSX,,76,3814,,0,0,,11,4339,87,200,,2,525,11,200,,0,0,0,0,,0,0,0,0,
CSIS,,50,3800,,0,0,,26,4300,57,133,,3,500,7,144,,0,0,0,0,,0,0,0,0,
DWGL,,141,3752,,0,0,,60,4800,179,372,,24,1048,38,361,,0,0,0,0,,0,0,0,0,
MPIX,,27,3700,,0,0,,25,5329,38,72,,27,1629,12,73,,0,0,0,0,,0,0,0,0,
PICO,,84,3653,,0,0,,98,5850,127,217,,38,2197,43,197,,0,0,0,0,,0,0,0,0,
AYLS,,41,3503,,0,0,,126,27136,326,120,,239,23633,285,121,,0,0,0,0,,0,0,0,0,
NZIA,,36,3468,,0,0,,66,11060,117,106,,65,7592,80,106,,0,0,0,0,,0,0,0,0,
HOKI,,25,3205,,0,0,,5,10763,84,78,,26,7558,59,79,,0,0,0,0,,0,0,0,0,
UNTD,,27,3075,,0,0,,21,4145,36,87,,6,1070,9,87,,0,0,0,0,,0,0,0,0,
DOOH,,43,3051,,0,0,,645,96633,1568,162,,997,93582,1525,163,,0,0,0,0,,0,0,0,0,
INTA,,8,2888,,0,0,,1,2888,8,29,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CARS,,37,2848,,0,0,,13,8500,111,131,,29,5652,74,131,,0,0,0,0,,0,0,0,0,
MLIA,,98,2800,,0,0,,7,2800,98,350,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BLUE,,122,2765,,0,0,,50,3300,141,427,,3,535,19,361,,0,0,0,0,,0,0,0,0,
BBRI,,1075,2630,,0,0,,46,4536,1863,4106,,35,1906,787,4131,,0,0,0,0,,0,0,0,0,
ADHI,,75,2600,,0,0,,26,3141,90,288,,11,541,16,290,,0,0,0,0,,0,0,0,0,
SRTG,,478,2518,,0,0,,41,3208,609,1897,,14,690,131,1898,,0,0,0,0,,0,0,0,0,
PART-W,,5,2505,,0,0,,4,2505,5,20,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PPRI,,91,2416,,0,0,,112,6071,227,373,,33,3655,135,370,,0,0,0,0,,0,0,0,0,
TINS,,247,2211,,0,0,,90,7856,883,1124,,23,5645,637,1128,,0,0,0,0,,0,0,0,0,
PLAN,,12,2176,,0,0,,7,2329,13,55,,10,153,1,55,,0,0,0,0,,0,0,0,0,
BJTM,,105,2050,,0,0,,4,2050,105,511,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MAHA,,33,2027,,0,0,,51,7689,125,163,,45,5662,92,163,,0,0,0,0,,0,0,0,0,
DGIK,,19,2000,,0,0,,6,2000,19,95,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KKES,,8,2000,,0,0,,5,2000,8,41,,0,0,0,0,,0,0,0,0,,0,0,0,0,
DOSS,,37,1945,,0,0,,36,4950,96,193,,30,3005,58,193,,0,0,0,0,,0,0,0,0,
DKHH,,21,1900,,0,0,,9,3000,33,109,,4,1100,12,108,,0,0,0,0,,0,0,0,0,
BBCA,,1393,1759,,0,0,,105,2887,2290,7931,,26,1128,897,7949,,0,0,0,0,,0,0,0,0,
ADMR,,216,1612,,0,0,,225,15012,1563,1041,,192,13400,1347,1005,,0,0,0,0,,0,0,0,0,
ESTI,,10,1596,,0,0,,2,3297,21,65,,15,1701,11,66,,0,0,0,0,,0,0,0,0,
BBTN,,205,1520,,0,0,,85,1620,219,1352,,9,100,14,1380,,0,0,0,0,,0,0,0,0,
PPRE,,14,1471,,0,0,,28,3371,34,101,,14,1900,19,102,,0,0,0,0,,0,0,0,0,
MAXI,,8,1434,,0,0,,8,2935,17,59,,11,1501,9,59,,0,0,0,0,,0,0,0,0,
BBKP,,11,1424,,0,0,,4,1424,11,79,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PGEO,,190,1413,,0,0,,9,1915,259,1354,,5,502,69,1372,,0,0,0,0,,0,0,0,0,
KUAS,,10,1291,,0,0,,24,3435,25,74,,27,2144,16,73,,0,0,0,0,,0,0,0,0,
PTBA,,297,1252,,0,0,,16,1452,345,2376,,1,200,48,2380,,0,0,0,0,,0,0,0,0,
AADI,,845,1203,,0,0,,28,1256,883,7029,,14,53,38,7122,,0,0,0,0,,0,0,0,0,
AGII,,95,1151,,0,0,,154,3823,311,813,,150,2672,216,808,,0,0,0,0,,0,0,0,0,
DKFT,,80,1117,,0,0,,7,1305,93,712,,2,188,13,707,,0,0,0,0,,0,0,0,0,
SMLE,,25,1106,,0,0,,3330,16216,328,202,,137,15110,303,201,,0,0,0,0,,0,0,0,0,
FILM,,465,1087,,96,-200,,58,1701,750,4412,,33,614,285,4641,,0,0,0,0,,2,200,96,4800,
DSNG,,172,1034,,0,0,,35,6035,989,1638,,18,5001,817,1634,,0,0,0,0,,0,0,0,0,
BKDP,,5,1021,,0,0,,5,1021,5,45,,0,0,0,0,,0,0,0,0,,0,0,0,0,
FOLK,,8,1000,,0,0,,1,1000,8,81,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MCOR,,8,1000,,0,0,,2,1000,8,76,,0,0,0,0,,0,0,0,0,,0,0,0,0,
OBMD,,28,1000,,0,0,,3,1010,29,283,,1,10,0,286,,0,0,0,0,,0,0,0,0,
RODA,,5,1000,,0,0,,3,1000,5,50,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SIMP,,63,1000,,0,0,,28,4000,255,638,,20,3000,193,642,,0,0,0,0,,0,0,0,0,
ASPR,,10,997,,0,0,,5,997,10,97,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SLIS-W,,2,995,,0,0,,5,1110,2,17,,3,115,0,17,,0,0,0,0,,0,0,0,0,
LAJU,,8,980,,0,0,,31,7822,59,75,,12,6842,51,74,,0,0,0,0,,0,0,0,0,
SOFA,,7,964,,0,0,,6,1416,10,72,,7,452,3,71,,0,0,0,0,,0,0,0,0,
FAST,,29,911,,0,0,,19,911,29,324,,0,0,0,0,,0,0,0,0,,0,0,0,0,
EAST,,8,907,,0,0,,2,1065,10,93,,1,158,1,93,,0,0,0,0,,0,0,0,0,
ARII,,25,874,,0,0,,33,874,25,282,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BBNI,,379,873,,0,0,,19,873,379,4340,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TEBE,,152,846,,0,0,,44,1312,241,1834,,22,466,89,1902,,0,0,0,0,,0,0,0,0,
FOOD,,17,817,,0,0,,11,961,20,204,,1,144,3,204,,0,0,0,0,,0,0,0,0,
BEEF,,26,808,,0,0,,52,1108,35,319,,3,300,10,326,,0,0,0,0,,0,0,0,0,
MENN,,5,780,,0,0,,14,1388,8,60,,7,608,4,62,,0,0,0,0,,0,0,0,0,
BELL,,5,750,,0,0,,6,1308,9,66,,3,558,4,67,,0,0,0,0,,0,0,0,0,
MCAS,,59,742,,61,767,,21,767,61,800,,1,25,2,805,,21,767,61,800,,0,0,0,0,
IMPC,,98,730,,0,0,,50,4197,584,1393,,44,3467,486,1402,,0,0,0,0,,0,0,0,0,
DEWI,,6,728,,0,0,,2399,94375,954,101,,659,93647,947,101,,0,0,0,0,,0,0,0,0,
JAWA,,11,705,,0,0,,41,6548,103,157,,29,5843,91,157,,0,0,0,0,,0,0,0,0,
BIKE,,75,684,,0,0,,58,6045,630,1042,,159,5361,555,1035,,0,0,0,0,,0,0,0,0,
CHEM,,6,620,,0,0,,4,620,6,100,,0,0,0,0,,0,0,0,0,,0,0,0,0,
LIVE,,21,600,,0,0,,17,5626,156,278,,38,5026,135,269,,0,0,0,0,,0,0,0,0,
MAPA,,33,581,,0,0,,21,581,33,574,,0,0,0,0,,0,0,0,0,,0,0,0,0,
INCO,,232,561,,0,0,,26,601,248,4126,,1,40,16,4070,,0,0,0,0,,0,0,0,0,
AALI,,2212,545,,0,0,,448,16718,14940,8936,,389,16173,12728,7870,,0,0,0,0,,0,0,0,0,
CMNP,,69,520,,0,0,,16,920,122,1328,,9,400,53,1330,,0,0,0,0,,0,0,0,0,
BOAT,,8,515,,0,0,,118,13175,190,144,,118,12660,181,143,,0,0,0,0,,0,0,0,0,
GUNA,,12,500,,0,0,,1,500,12,238,,0,0,0,0,,0,0,0,0,,0,0,0,0,
HDIT,,3,500,,0,0,,2,500,3,58,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ICON,,2,500,,0,0,,2,500,2,49,,0,0,0,0,,0,0,0,0,,0,0,0,0,
LMAX,,4,500,,0,0,,1,500,4,82,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SATU,,12,500,,0,0,,46,500,12,246,,0,0,0,0,,0,0,0,0,,0,0,0,0,
VTNY,,5,500,,0,0,,33,3500,36,103,,6,3000,31,103,,0,0,0,0,,0,0,0,0,
TMPO,,8,450,,0,0,,10,1450,26,180,,5,1000,18,178,,0,0,0,0,,0,0,0,0,
SKRN,,18,439,,0,0,,10,439,18,416,,0,0,0,0,,0,0,0,0,,0,0,0,0,
LSIP,,61,430,,0,0,,38,4020,536,1334,,65,3590,476,1325,,0,0,0,0,,0,0,0,0,
INKP,,311,416,,0,0,,26,662,495,7471,,9,246,184,7466,,0,0,0,0,,0,0,0,0,
TRJA,,5,408,,0,0,,6,1064,15,140,,25,656,10,148,,0,0,0,0,,0,0,0,0,
JSMR,,136,388,,0,0,,6,400,140,3504,,2,12,4,3530,,0,0,0,0,,0,0,0,0,
ACRO,,3,376,,0,0,,7,637,5,86,,2,261,2,86,,0,0,0,0,,0,0,0,0,
SUNI,,28,335,,0,0,,19,335,28,843,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MDIY,,36,332,,0,0,,43,332,36,1073,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TRIN,,3,325,,0,0,,2,325,3,90,,0,0,0,0,,0,0,0,0,,0,0,0,0,
RGAS,,3,302,,0,0,,2,2500,26,102,,12,2198,22,101,,0,0,0,0,,0,0,0,0,
AMRT,,63,300,,0,0,,1,300,63,2090,,0,0,0,0,,0,0,0,0,,0,0,0,0,
LEAD,,2,300,,0,0,,20,6420,53,83,,15,6120,51,84,,0,0,0,0,,0,0,0,0,
DOID,,10,280,,0,0,,8,280,10,363,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TRGU,,5,271,,0,0,,4,271,5,173,,0,0,0,0,,0,0,0,0,,0,0,0,0,
WINS,,10,234,,0,0,,7,234,10,414,,0,0,0,0,,0,0,0,0,,0,0,0,0,
IBFN,,1,222,,0,0,,1,222,1,39,,0,0,0,0,,0,0,0,0,,0,0,0,0,
JAYA,,2,222,,0,0,,11,422,4,104,,1,200,2,104,,0,0,0,0,,0,0,0,0,
AMMN,,159,203,,0,0,,32,1005,803,7985,,3,802,644,8025,,0,0,0,0,,0,0,0,0,
PSAT,,28,201,,0,0,,35,375,52,1394,,6,174,25,1409,,0,0,0,0,,0,0,0,0,
KING-W,,0,200,,0,0,,3,200,0,13,,0,0,0,0,,0,0,0,0,,0,0,0,0,
DGWG,,8,193,,0,0,,134,3624,148,408,,91,3431,140,408,,0,0,0,0,,0,0,0,0,
ITMA,,21,177,,0,0,,19,1093,156,1425,,30,916,134,1467,,0,0,0,0,,0,0,0,0,
ELPI,,2,170,,0,0,,12,1901,67,354,,17,1731,69,399,,0,0,0,0,,0,0,0,0,
INTD,,3,158,,0,0,,3,250,5,200,,7,92,2,203,,0,0,0,0,,0,0,0,0,
ASBI,,7,154,,0,0,,12,155,7,451,,1,1,0,462,,0,0,0,0,,0,0,0,0,
SDMU,,11,150,,0,0,,7,15150,108,71,,2,15000,119,79,,0,0,0,0,,0,0,0,0,
BEST,,2,137,,0,0,,4,1221,15,124,,7,1084,13,124,,0,0,0,0,,0,0,0,0,
MGLV,,19,136,,0,0,,3,136,19,1370,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SRAJ,,120,129,,0,0,,11,129,120,9333,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PEGE,,2,125,,0,0,,16,2400,30,124,,21,2275,28,122,,0,0,0,0,,0,0,0,0,
PGAS,,20,115,,0,0,,3,115,20,1740,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BLOG,,6,112,,0,0,,8,125,7,556,,2,13,1,564,,0,0,0,0,,0,0,0,0,
FPNI,,2,101,,0,0,,2,101,2,197,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ASSA,,9,100,,0,0,,1,100,9,890,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CYBR,,10,100,,0,0,,1,100,10,990,,0,0,0,0,,0,0,0,0,,0,0,0,0,
FUJI,,7,100,,0,0,,12,531,29,539,,11,431,22,500,,0,0,0,0,,0,0,0,0,
GTBO,,2,100,,0,0,,1,100,2,200,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SAME,,3,100,,0,0,,6,100,3,312,,0,0,0,0,,0,0,0,0,,0,0,0,0,
VOKS,,3,100,,0,0,,13,978,36,370,,20,878,33,380,,0,0,0,0,,0,0,0,0,
KOPI,,3,98,,0,0,,8,133,4,335,,2,35,1,340,,0,0,0,0,,0,0,0,0,
GOLF,,2,94,,0,0,,4,94,2,212,,0,0,0,0,,0,0,0,0,,0,0,0,0,
AKRA,,10,82,,0,0,,11,710,88,1242,,8,628,78,1249,,0,0,0,0,,0,0,0,0,
PWON,,3,82,,0,0,,4,109,4,372,,2,27,1,380,,0,0,0,0,,0,0,0,0,
ECII,,1,75,,0,0,,1,75,1,187,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TAPG,,11,71,,0,0,,6,71,11,1564,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MYOR,,14,70,,0,0,,5,70,14,2070,,0,0,0,0,,0,0,0,0,,0,0,0,0,
IPTV,,0,68,,0,0,,1,68,0,44,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BVIC,,1,64,,0,0,,6,2064,24,115,,23,2000,23,115,,0,0,0,0,,0,0,0,0,
ARKA,,0,62,,0,0,,11,62,0,45,,0,0,0,0,,0,0,0,0,,0,0,0,0,
FIRE,,0,59,,0,0,,9,630,6,95,,6,571,6,98,,0,0,0,0,,0,0,0,0,
CSMI,,2,50,,0,0,,3,50,2,333,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KEEN,,4,50,,0,0,,1,50,4,820,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ROCK,,3,37,,0,0,,4,37,3,795,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PALM,,1,29,,0,0,,43,456,19,413,,10,427,18,411,,0,0,0,0,,0,0,0,0,
BVIC-W,,0,27,,0,0,,1,47,0,43,,4,20,0,46,,0,0,0,0,,0,0,0,0,
HEXA,,14,25,,0,0,,1,25,14,5425,,0,0,0,0,,0,0,0,0,,0,0,0,0,
LFLO,,1,25,,0,0,,4,25,1,318,,0,0,0,0,,0,0,0,0,,0,0,0,0,
AMRTBQCU5A,,9,20,,0,0,,306,64304,27,4,,65,64284,36,6,,0,0,0,0,,0,0,0,0,
BRIS,,5,20,,0,0,,3,30,8,2660,,1,10,3,2650,,0,0,0,0,,0,0,0,0,
MPRO,,9,20,,0,0,,10,20,9,4694,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CYBR-W,,1,19,,0,0,,5,20,1,675,,1,1,0,695,,0,0,0,0,,0,0,0,0,
LINK,,6,19,,0,0,,1,19,6,3000,,0,0,0,0,,0,0,0,0,,0,0,0,0,
VRNA,,0,19,,0,0,,2,19,0,89,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ELIT,,0,15,,0,0,,1,15,0,186,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SMDR,,0,13,,0,0,,1,13,0,334,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BINO,,0,10,,0,0,,1,10,0,131,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BYAN,,18,10,,0,0,,2,10,18,18350,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KLBF,,1,10,,0,0,,1,10,1,1190,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CTRA,,1,7,,0,0,,7,7,1,972,,0,0,0,0,,0,0,0,0,,0,0,0,0,
INDF,,4,5,,0,0,,1,7,5,7675,,1,2,2,7700,,0,0,0,0,,0,0,0,0,
ITMG,,11,5,,0,0,,1,5,11,22425,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KEJU,,0,5,,0,0,,1,5,0,610,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TPIA,,4,5,,0,0,,3,5,4,7975,,0,0,0,0,,0,0,0,0,,0,0,0,0,
VAST,,0,5,,0,0,,2,110,2,200,,2,105,2,200,,0,0,0,0,,0,0,0,0,
ASGR,,0,4,,0,0,,2,4,0,1243,,0,0,0,0,,0,0,0,0,,0,0,0,0,
DRMA,,0,4,,0,0,,4,4,0,995,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CFIN,,0,3,,0,0,,2,3,0,315,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TUGU,,0,3,,0,0,,3,3,0,965,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ACES,,0,2,,0,0,,1,2,0,436,,0,0,0,0,,0,0,0,0,,0,0,0,0,
