Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
BUKABQCZ5B,14,0%,14,14,14,14,7,448,627,5880
LINK,3020,1.342281879194631%,2980,3000,3020,3000,38,447,134417,8646850
KOIN,72,0%,72,72,72,72,12,441,3175,70621
YUPI,1625,0.6191950464396285%,1615,1615,1625,1600,84,440,71081,13884794
INDS,222,0%,222,224,224,222,30,435,9693,1456874
INRU,795,0%,795,845,845,795,55,432,34866,1104162
XKIV,590,-1.006711409395973%,596,596,596,590,4,421,24850,9499
UFOE,176,0%,176,176,177,174,35,421,7378,510094
XBID,514,-0.3875968992248062%,516,513,514,513,2,410,21073,17939
MBMAHDCH6A,77,-4.938271604938271%,81,76,77,76,3,402,3075,19250
BUDI,214,0%,214,214,216,212,36,401,8587,962785
XBIN,582,-0.5128205128205128%,585,582,582,582,1,400,23280,1189201
XBSK,451,-0.6607929515418502%,454,451,451,451,1,400,18040,804674
XMLF,885,-0.44994375703037126%,889,885,885,885,1,400,35400,11063
ADROHDPH6A,132,0.7633587786259541%,131,132,132,132,1,398,5254,13200
PDES,464,0%,464,464,464,464,5,394,18282,331760
ADROBQCZ5A,12,-20%,15,13,13,12,4,391,473,480
HERO,400,0%,400,400,400,384,38,385,15024,1673454
TRST,492,0%,492,480,492,474,35,382,18685,1381536
KBLI,370,1.092896174863388%,366,366,370,364,26,379,13916,1482677
PGEOHDCH6A,47,-7.8431372549019605%,51,45,47,45,5,379,1718,8460
AIMS,346,4.848484848484849%,330,330,348,300,38,367,12407,76120
PRDA,2770,0%,2770,2770,2780,2720,79,363,99616,2596875
EURO,290,1.3986013986013985%,286,286,290,280,43,359,10312,739160
PDPP,486,-0.8163265306122449%,490,490,490,480,47,355,17252,1487812
BBNIZPCH6A,101,-5.607476635514018%,107,101,101,101,1,350,3535,20200
R-LQ45X,984,0%,984,984,989,975,11,336,32778,140614
ADMF,8950,0.2801120448179272%,8925,8975,8975,8925,45,335,299333,8950000
AGAR,246,-1.6%,250,246,254,246,13,335,8364,246000
MEDCZPCF6A,37,23.333333333333332%,30,36,37,36,4,332,1228,7400
SIPD,680,-6.206896551724138%,725,700,700,680,22,329,23026,1250589
KBLM,376,-0.5291005291005291%,378,380,380,372,35,321,12126,421120
ASDM,530,-0.9345794392523363%,535,545,545,525,33,321,17335,203520
