Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
LPPF,1610,0.3115264797507788%,1605,1605,1615,1595,661,9189,1477171,3635830
ALII,535,0.9433962264150944%,530,530,540,525,77,23133,1236675,8466803
BOLA,199,2.5773195876288657%,194,194,202,190,229,23811,461579,1194000
TOWR,600,0.8403361344537815%,595,600,610,595,2210,393156,23647244,35458862
RELF,56,9.803921568627452%,51,55,56,55,275,113244,633654,320759
GRIA,125,4.166666666666666%,120,140,155,120,9591,1076778,14761026,921965
SDMU,55,10%,50,55,55,55,190,180633,993482,62437
SUNI,785,0.641025641025641%,780,780,795,775,110,4290,336140,1962500
XKMS,1139,0.4409171075837742%,1134,1138,1140,1138,59,2000,227780,180076
NFCX,1750,0.28653295128939826%,1745,1750,1750,1735,38,373,65078,1166668
SIDO,530,0.9523809523809524%,525,525,535,525,2390,119158,6330281,15900000
DVLA,1600,0.3134796238244514%,1595,1595,1605,1525,165,1041,163632,1792000
BPII,570,0.8849557522123894%,565,570,570,565,61,1160,66042,5876685
SIMP,660,0.7633587786259541%,655,670,675,655,2354,264454,17516177,10230865
WIDI,55,10%,50,55,55,55,271,105171,578441,88002
WIIM,795,0.6329113924050633%,790,790,800,785,228,6913,547359,1669400
DAYA,1020,0.49261083743842365%,1015,1020,1020,1000,25,100,10125,2468958
MDKADRCK6A,94,5.617977528089887%,89,92,104,92,46,18370,178845,14100
ARNA,570,0.8849557522123894%,565,565,570,560,202,6231,353358,4184616
CLAY,1505,0.33333333333333337%,1500,1500,1505,1490,49,1351,202342,3867850
PNBN,1155,0.43478260869565216%,1150,1150,1160,1135,560,68071,7796100,27532481
ERTX,125,4.166666666666666%,120,122,139,117,1897,131632,1690660,160817
SOHO,760,0.6622516556291391%,755,755,760,755,23,334,25380,9645679
CHIP,1380,0.36363636363636365%,1375,1375,1395,1365,310,748,102902,1112280
XISR,445,1.1363636363636365%,440,446,446,445,2,112,4993,1176936
BAPA,73,7.352941176470589%,68,68,86,65,10623,2237206,17669847,48310
OBAT-W,96,5.4945054945054945%,91,92,99,91,253,28816,273437,8026
ATAP,57,9.615384615384617%,52,57,57,57,103,14512,82718,71250
ENRGZPCG6A,184,2.2222222222222223%,180,185,194,184,7,5404,100950,36800
ACES,440,0.9174311926605505%,436,438,442,436,3595,502093,22063112,7532971
IBOS,44,10%,40,40,44,39,3236,1316793,5655569,354895
KDSI,474,0.851063829787234%,470,468,474,456,7,77,3584,767880
MSIE,46,9.523809523809524%,42,42,46,42,296,57898,265110,67160
REAL,50,8.695652173913043%,46,49,50,49,668,459596,2288285,331681
MOLI,208,1.9607843137254901%,204,208,212,204,327,23761,492575,566600
GEMA,121,3.418803418803419%,117,117,128,116,3316,297066,3674850,193600
AKRAZPCJ6A,55,7.8431372549019605%,51,54,55,54,2,96,519,11000
RALS,394,1.0256410256410255%,390,392,394,390,343,20231,792636,2795824
BCAP,75,5.633802816901409%,71,71,79,68,17026,4361114,32686041,3196414
SURI,117,3.5398230088495577%,113,112,118,108,21184,6475111,72269729,741122
ADROHDCZ5A,59,7.2727272727272725%,55,59,59,59,2,93,549,10620
COAL,59,7.2727272727272725%,55,60,60,59,1296,538013,3221622,368750
TLKMHDCJ6A,58,7.4074074074074066%,54,58,58,58,4,257,1491,11600
EURO,256,1.5873015873015872%,252,254,260,254,33,444,11438,652500
BMRIHDCQ7A,92,4.545454545454546%,88,92,92,92,1,1,9,9200
HERO,396,1.0204081632653061%,392,396,396,392,15,52,2044,1656719
TMAS,138,2.9850746268656714%,134,135,140,135,427,28438,390253,7873107
BMBL,44,10%,40,41,44,41,302,86951,382484,45324
NPGF,64,6.666666666666667%,60,61,78,59,18972,6408844,45408832,207375
PZZA,214,1.9047619047619049%,210,210,220,206,535,59833,1282090,646681
DSNGDRCK6A,84,5%,80,84,84,84,1,32,269,16800
BIMA,76,5.555555555555555%,72,78,78,76,53,1621,12591,46221
SOFA,53,8.16326530612245%,49,50,53,48,619,168301,868217,87639
BEEF,322,1.257861635220126%,318,318,328,312,16750,313876,10108841,2614720
BELI,368,1.098901098901099%,364,366,370,362,73,2538,92749,49261934
MITI,264,1.5384615384615385%,260,276,288,260,1301,85094,2319782,934754
MNCN,266,1.5267175572519083%,262,262,266,258,1154,399133,10436323,4003244
MANG,51,8.51063829787234%,47,47,51,46,1262,476637,2369214,194438
STAR,47,9.30232558139535%,43,47,47,47,35,3454,16234,225600
BRPTYUCZ5A,110,3.7735849056603774%,106,110,110,110,1,1,11,22000
GUNA,242,1.680672268907563%,238,242,244,240,83,2015,48801,605000
TLKMDRCJ6A,81,3.8461538461538463%,78,81,81,80,4,15,121,24300
GIAA,69,4.545454545454546%,66,66,69,66,847,204521,1379497,6312174
PGLI,181,1.6853932584269662%,178,183,183,174,55,672,12032,88328
HYGN,160,1.910828025477707%,157,157,160,152,125,11693,182710,404000
HEALDRCJ6A,50,6.382978723404255%,47,50,50,50,1,108,540,15000
