Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
BJTM,550,0.92%,545,545,555,540,1252,125956,6887660,8175939
BSIM,870,0.58%,865,865,880,860,34,83,7190,16980592
BBHI,1475,0.34%,1470,1530,1530,1475,337,14004,2094979,31731607
ALDO,550,0.92%,545,545,550,530,86,3014,162200,1485393
SHID,870,0.58%,865,870,870,870,3,6,522,973814
JAWA,174,2.96%,169,169,177,167,2098,146046,2521892,2824534
TOWR,545,0.93%,540,545,545,535,2196,313458,17009124,32208467
MSTI,1430,0.35%,1425,1430,1430,1420,392,11970,1707918,4489365
HDIT,60,9.09%,55,60,60,60,287,169394,1016364,91481
NATO,148,3.50%,143,145,149,143,359,43315,628267,1184165
LUCY,109,4.81%,104,102,114,102,125,5179,55632,165110
SDMU,64,8.47%,59,62,64,62,89,38196,243745,72654
SMDM,820,0.61%,815,815,820,810,38,1295,105702,3913153
MCAS,800,0.63%,795,800,810,785,160,2006,159625,694347
DILD,141,3.68%,136,137,141,136,1923,377047,5238557,1461585
FORE,515,0.98%,510,510,515,510,936,19295,986892,4592955
TLKMHDCJ6A,81,6.58%,76,83,83,81,3,304,2463,16200
NOBU,505,1%,500,500,505,500,249,20242,1014848,3738848
SIMP,635,0.79%,630,630,645,630,1198,78371,4994841,9843332
MPMX,970,0.52%,965,970,975,965,685,12423,1202258,4255354
CBUT,1430,0.35%,1425,1435,1450,1330,386,3155,443478,4468750
ENRGZPCK6A,48,11.63%,43,48,49,48,3,65902,319616,33600
BUAH,695,0.72%,690,690,700,680,132,2734,188677,1390000
AREA,525,0.96%,520,520,530,510,88,26810,1392384,1333291
BUKK,990,0.51%,985,985,990,970,55,813,80018,2614047
HRUM,1015,0.50%,1010,1010,1025,1005,2407,101501,10275708,13720872
ROTI,800,0.63%,795,800,805,790,281,4837,385206,4949191
ELSAZPCG6A,39,14.71%,34,36,41,36,43,83310,326287,7800
ANTMHDCH6B,106,4.95%,101,101,109,97,19,8324,87301,16960
MICE,610,0.83%,605,605,680,605,208,4171,263893,366000
PART,135,3.85%,130,130,144,126,4078,1272093,17006082,367253
INET,515,0.98%,510,525,560,505,105508,13542623,721174669,4803232
GPRA,136,3.82%,131,131,137,129,1901,499394,6673956,581625
TAPG,1620,0.31%,1615,1615,1640,1605,4983,63057,10219359,32161115
MANG,62,8.77%,57,60,62,59,1022,176974,1096438,236376
AXIO,134,3.88%,129,127,156,125,6370,482798,6910309,782577
BAYU,1315,0.38%,1310,1320,1320,1305,74,1889,247435,464485
POLI,765,0.66%,760,770,770,765,4,60,4599,1538053
SCNP,162,2.53%,158,161,165,160,168,8915,144792,405000
AHAP,94,4.44%,90,90,94,88,938,248826,2284816,460600
XSSK,723,0.56%,719,723,723,723,1,200,14460,12942
RAAM,246,1.65%,242,244,258,242,3872,139249,3443339,1676151
BBSS,362,1.12%,358,356,366,354,31,264,9410,1737606
XBSK,467,0.86%,463,467,467,467,1,400,18680,833315
BBYB,376,1.08%,372,370,382,370,4463,570634,21490013,4969584
RALS,434,0.93%,430,430,438,428,847,84410,3655639,3079664
BCIP,114,3.64%,110,110,114,108,1011,571488,6357295,163010
AMIN,270,1.50%,266,264,270,258,96,2148,56616,291600
EURO,294,1.38%,290,310,314,290,490,33180,987158,749355
GSMF,100,4.17%,96,96,102,96,931,94160,934508,1423040
MPXL,238,1.71%,234,234,244,232,545,46770,1110952,476003
ANTMBQCN6A,82,5.13%,78,82,82,82,1,14,115,5740
AEGS,91,4.60%,87,88,95,84,1445,172775,1573042,91553
AVIA,448,0.90%,444,448,450,442,1240,89347,3989139,27755193
BMBL,46,9.52%,42,43,46,42,1022,214599,969364,47384
GTBO,208,1.96%,204,204,214,202,57,1593,32882,520000
PADI,76,5.56%,72,73,76,73,418,149098,1120911,859351
INKPZPCF6A,73,5.80%,69,70,74,69,26,9418,67632,14600
BBRIHDCQ7A,82,5.13%,78,81,82,79,12,813,6595,8200
SCMADRCG6A,18,28.57%,14,17,20,16,34,10885,17678,3600
TRGU,198,2.06%,194,194,199,192,123,5240,103250,1573192
SCMAZPCM6A,50,8.70%,46,48,52,48,16,6745,33263,25000
ASJT,134,3.08%,130,131,140,131,186,17339,233841,187600
ASLC,88,4.76%,84,84,89,84,6943,999073,8677252,1121679
IATA,89,4.71%,85,93,93,85,1338,799393,7204398,2783549
MAYA,258,1.57%,254,256,270,254,1234,147867,3881403,6683794
BSDEZPCH6A,46,6.98%,43,44,46,44,6,614,2753,9200
BMRIZPCH6A,53,6%,50,52,54,52,6,852,4521,10600
CARS,128,2.40%,125,125,130,123,776,404547,5122439,1920000
GRIA,102,3.03%,99,98,105,98,597,114769,1167971,752324
NASI,104,2.97%,101,101,104,101,294,31522,322094,83970
ZINC,34,9.68%,31,34,34,34,582,497428,1691255,858500
AMAN,158,1.94%,155,155,158,153,502,34573,538111,612013
ANTMDRCG6B,40,8.11%,37,36,43,33,12,4476,18537,4000
PGEOZPCM6A,32,10.34%,29,32,32,32,1,1,3,16000
RBMS,38,8.57%,35,38,38,38,68,20065,76247,100936
UNVRHDCM6A,178,1.71%,175,184,184,178,4,349,6327,24920
LIVE,184,1.66%,181,179,187,178,552,24229,445598,845113
BBCAHDCQ7A,71,4.41%,68,68,71,68,10,20572,144018,7100
KOTA,38,8.57%,35,35,38,35,465,263837,994646,400755
XMIG,228,1.33%,225,228,228,228,1,2000,45600,4651
ENRGHDCK6A,86,3.61%,83,88,89,85,24,11657,101442,34400
CHEM,112,2.75%,109,109,115,109,1553,178457,1997775,190402
DOSS,165,1.85%,162,163,167,162,266,20786,341987,284625
MAPIDRCX5A,10,42.86%,7,7,10,7,58,29060,25776,3000
TRON,94,3.30%,91,91,96,90,2884,333471,3068106,277425
TAPGDRCJ6A,98,3.16%,95,98,98,98,1,1,10,49000
BAJA,172,1.78%,169,170,184,170,4490,330418,5887752,309600
INOV,137,2.24%,134,134,144,131,1403,117338,1634840,247726
XSBC,109,1.87%,107,109,109,109,7,263,2867,13690
AUTOZPCJ6A,47,4.44%,45,47,47,47,1,1,5,9400
INKPDRCG6A,58,3.57%,56,58,58,58,1,200,1160,5800
CPINHDCN6A,68,3.03%,66,68,68,68,1,3,20,8160
AGRO,230,0.88%,228,228,232,226,867,106353,2437738,5633411
ISSP,428,0.47%,426,426,440,426,415,32774,1415213,3075605
KDSI,460,0.44%,458,466,466,450,34,366,16707,745200
BNGAHDCN6A,70,2.94%,68,70,70,70,1,148,1036,11900
YELO,74,2.78%,72,73,74,73,457,102668,759195,141545
XBID,547,0.37%,545,547,547,547,2,400,21880,19090
MSKY,84,2.44%,82,82,86,81,7551,205274,1728693,167527
PTDU,24,9.09%,22,24,24,24,28,4308,10339,36000
PNLFBQCM6A,22,10%,20,22,22,20,29,58419,117696,7040
ACRO,90,2.27%,88,88,93,88,8277,311651,2844620,312228
SRTGHDCK6A,54,3.85%,52,54,54,54,1,53,286,5400
BRPTBQCX5B,298,0.68%,296,308,308,290,3,7,206,23840
PTIS,414,0.49%,412,408,428,408,24,181,7538,227768
ACST,134,1.52%,132,132,135,131,504,42091,560482,2368471
ANTMBQCG6A,43,4.88%,41,40,43,39,3,24,98,4300
BBRM,87,2.35%,85,85,93,85,6552,258270,2312640,737716
AYAM,288,0.70%,286,296,322,268,31244,4684982,137075280,1152000
XSSI,89,2.30%,87,87,89,87,67,531,4712,13190
MOLI,346,0.58%,344,344,358,330,1820,91319,3120495,942517
IKPM,242,0.83%,240,240,248,240,121,8936,218090,407688
