,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
DKHH,,53,5193,,0,0,,84,37449,412,110,,130,32256,359,111,,0,0,0,0,,0,0,0,0,
ADCP,,33,5067,,0,0,,219,66187,410,62,,84,61120,377,62,,0,0,0,0,,0,0,0,0,
CENT,,59,5010,,0,0,,30,5010,59,118,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TEBE,,928,4988,,0,0,,60,5067,942,1859,,6,79,14,1788,,0,0,0,0,,0,0,0,0,
ISEA,,48,4978,,0,0,,19,5345,51,96,,3,367,4,100,,0,0,0,0,,0,0,0,0,
ELPI,,163,4820,,0,0,,4,4820,163,338,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MEJA,,32,4499,,0,0,,9,5300,38,73,,7,801,6,77,,0,0,0,0,,0,0,0,0,
AGRO,,141,4463,,0,0,,111,61529,1551,252,,151,57066,1410,247,,0,0,0,0,,0,0,0,0,
SDMU,,41,4245,,0,0,,59,35583,256,72,,56,31338,215,69,,0,0,0,0,,0,0,0,0,
BSDE,,455,4210,,0,0,,22,6060,658,1087,,6,1850,203,1098,,0,0,0,0,,0,0,0,0,
RMKE,,402,4194,,0,0,,60,8194,788,962,,14,4000,386,964,,0,0,0,0,,0,0,0,0,
INDX,,38,4176,,0,0,,51,8417,75,90,,37,4241,38,89,,0,0,0,0,,0,0,0,0,
AHAP,,29,3865,,0,0,,9,3965,30,76,,1,100,1,78,,0,0,0,0,,0,0,0,0,
UVCR,,28,3863,,0,0,,26,3863,28,74,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CDIA,,500,3856,,0,0,,428,35886,4912,1369,,473,32030,4412,1378,,0,0,0,0,,0,0,0,0,
PTRO,,1354,3845,,0,0,,136,9620,3373,3506,,99,5775,2019,3496,,0,0,0,0,,0,0,0,0,
PART,,45,3745,,0,0,,28,5750,68,119,,20,2005,23,116,,0,0,0,0,,0,0,0,0,
JKON,,33,3741,,0,0,,29,4497,39,87,,5,756,7,87,,0,0,0,0,,0,0,0,0,
SIDO,,194,3690,,0,0,,5,3800,200,525,,1,110,6,525,,0,0,0,0,,0,0,0,0,
MEDC,,443,3596,,0,0,,75,5500,680,1236,,17,1904,237,1245,,0,0,0,0,,0,0,0,0,
ERAL,,117,3584,,0,0,,29,10675,351,329,,6,7091,234,330,,0,0,0,0,,0,0,0,0,
CRSN,,35,3388,,0,0,,8,4088,43,104,,6,700,8,109,,0,0,0,0,,0,0,0,0,
BABP,,19,3248,,0,0,,59,28248,169,60,,16,25000,150,60,,0,0,0,0,,0,0,0,0,
ASPR,,29,3089,,0,0,,35,3140,29,93,,2,51,0,93,,0,0,0,0,,0,0,0,0,
CITY,,34,3000,,0,0,,59,6742,74,109,,37,3742,40,107,,0,0,0,0,,0,0,0,0,
MLIA,,106,3000,,0,0,,19,3000,106,352,,0,0,0,0,,0,0,0,0,,0,0,0,0,
JPFA,,529,2852,,0,0,,55,13585,2439,1795,,114,10733,1910,1779,,0,0,0,0,,0,0,0,0,
DNAR,,33,2800,,0,0,,6,4200,50,119,,53,1400,17,120,,0,0,0,0,,0,0,0,0,
HBAT,,46,2778,,0,0,,26,2778,46,166,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KETR,,168,2637,,0,0,,70,6150,393,639,,44,3513,226,642,,0,0,0,0,,0,0,0,0,
MMLP,,136,2574,,0,0,,30,2574,136,530,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ASRI,,44,2565,,0,0,,22,3515,60,170,,2,950,16,170,,0,0,0,0,,0,0,0,0,
MTEL,,138,2399,,0,0,,25,2399,138,575,,0,0,0,0,,0,0,0,0,,0,0,0,0,
FAST,,77,2387,,0,0,,32,2487,81,324,,1,100,3,324,,0,0,0,0,,0,0,0,0,
RBMS,,10,2304,,0,0,,10,2304,10,44,,0,0,0,0,,0,0,0,0,,0,0,0,0,
COAL,,12,2200,,0,0,,5,2200,12,55,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MDRN,,7,2190,,0,0,,25,50000,150,30,,115,47810,143,30,,0,0,0,0,,0,0,0,0,
BAPA,,21,2182,,0,0,,42,6332,56,88,,21,4150,35,85,,0,0,0,0,,0,0,0,0,
CCSI,,83,2170,,0,0,,36,2410,93,386,,7,240,10,427,,0,0,0,0,,0,0,0,0,
DSNG,,389,2160,,0,0,,80,5210,911,1749,,59,3050,523,1714,,0,0,0,0,,0,0,0,0,
MTWI,,79,2110,,0,0,,16,2110,79,373,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TOOL,,12,2104,,0,0,,20,4896,30,61,,5,2792,18,63,,0,0,0,0,,0,0,0,0,
KPIG,,41,2089,,0,0,,38,5158,101,196,,30,3069,60,197,,0,0,0,0,,0,0,0,0,
BINO,,24,2000,,0,0,,4,2000,24,120,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BMTR,,28,2000,,0,0,,1,2000,28,141,,0,0,0,0,,0,0,0,0,,0,0,0,0,
WINE,,44,1991,,0,0,,16,1991,44,219,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PACK,,461,1959,,0,0,,70,2056,484,2354,,11,97,23,2381,,0,0,0,0,,0,0,0,0,
MIRA,,13,1872,,0,0,,6,1872,13,67,,0,0,0,0,,0,0,0,0,,0,0,0,0,
OASA,,47,1859,,0,0,,16,10485,262,250,,19,8626,216,250,,0,0,0,0,,0,0,0,0,
BLOG,,107,1850,,0,0,,40,2300,134,581,,9,450,26,583,,0,0,0,0,,0,0,0,0,
LIVE,,41,1828,,0,0,,27,2103,47,222,,3,275,6,221,,0,0,0,0,,0,0,0,0,
GTSI,,18,1807,,0,0,,85,18786,175,93,,58,16979,156,92,,0,0,0,0,,0,0,0,0,
TRGU,,30,1780,,0,0,,30,2280,39,172,,7,500,9,173,,0,0,0,0,,0,0,0,0,
ACRO,,15,1687,,0,0,,44,7869,68,87,,44,6182,53,86,,0,0,0,0,,0,0,0,0,
NAIK,,23,1620,,0,0,,31,3770,53,141,,26,2150,31,142,,0,0,0,0,,0,0,0,0,
KIOS,,12,1450,,0,0,,6,1508,12,82,,1,58,0,83,,0,0,0,0,,0,0,0,0,
WIDI,,4,1425,,0,0,,263,240463,1004,42,,646,239038,1008,42,,0,0,0,0,,0,0,0,0,
HDIT,,8,1411,,0,0,,19,1500,9,58,,1,89,1,58,,0,0,0,0,,0,0,0,0,
DMMX,,47,1297,,0,0,,18,1384,50,359,,2,87,3,356,,0,0,0,0,,0,0,0,0,
DMAS,,17,1244,,0,0,,2,1244,17,137,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MPIX,,8,1200,,0,0,,19,1550,11,69,,7,350,2,71,,0,0,0,0,,0,0,0,0,
AEGS,,4,1199,,0,0,,12,2874,11,38,,8,1675,7,39,,0,0,0,0,,0,0,0,0,
BBRI,,430,1078,,0,0,,22,6226,2416,3880,,69,5148,1985,3856,,0,0,0,0,,0,0,0,0,
BRRC-W,,2,1078,,0,0,,2,1078,2,14,,0,0,0,0,,0,0,0,0,,0,0,0,0,
VERN-W,,1,1018,,0,0,,2,1127,1,6,,1,109,0,7,,0,0,0,0,,0,0,0,0,
MBMA,,43,1016,,0,0,,26,2851,121,426,,12,1835,79,429,,0,0,0,0,,0,0,0,0,
KLAS,,13,1000,,0,0,,5,1025,13,130,,3,25,0,131,,0,0,0,0,,0,0,0,0,
PTPP,,33,1000,,0,0,,2,1050,35,334,,1,50,2,344,,0,0,0,0,,0,0,0,0,
LMPI,,14,996,,0,0,,12,1200,17,141,,4,204,3,148,,0,0,0,0,,0,0,0,0,
LEAD,,7,960,,0,0,,3,1000,7,75,,3,40,0,75,,0,0,0,0,,0,0,0,0,
EAST,,8,938,,0,0,,12,4766,45,94,,466,3828,37,97,,0,0,0,0,,0,0,0,0,
APEX,,11,925,,0,0,,14,1825,22,123,,7,900,11,121,,0,0,0,0,,0,0,0,0,
MUTU,,8,845,,0,0,,6,1345,13,96,,4,500,5,98,,0,0,0,0,,0,0,0,0,
RAAM,,25,817,,0,0,,280,7576,223,295,,209,6759,198,294,,0,0,0,0,,0,0,0,0,
MAPA,,48,800,,0,0,,30,2400,144,600,,18,1600,96,600,,0,0,0,0,,0,0,0,0,
POLY,,2,800,,0,0,,12,800,2,27,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MCAS,,61,779,,67,849,,33,849,67,789,,2,70,5,783,,33,849,67,789,,0,0,0,0,
KRYA,,14,750,,0,0,,13,800,15,186,,2,50,1,187,,0,0,0,0,,0,0,0,0,
RGAS,,9,745,,0,0,,4,855,10,117,,1,110,1,114,,0,0,0,0,,0,0,0,0,
FIRE,,6,740,,0,0,,49,4262,35,82,,66,3522,29,82,,0,0,0,0,,0,0,0,0,
SRTG,,145,726,,0,0,,21,1001,199,1993,,5,275,54,1980,,0,0,0,0,,0,0,0,0,
JSMR,,248,720,,0,0,,32,742,256,3450,,7,22,8,3432,,0,0,0,0,,0,0,0,0,
BMBL,,3,700,,0,0,,3,900,4,40,,5,200,1,42,,0,0,0,0,,0,0,0,0,
PLAN,,3,700,,0,0,,12,2311,12,51,,6,1611,9,53,,0,0,0,0,,0,0,0,0,
PTSN,,33,700,,0,0,,9,700,33,477,,0,0,0,0,,0,0,0,0,,0,0,0,0,
AXIO,,9,692,,0,0,,16,812,10,127,,1,120,2,128,,0,0,0,0,,0,0,0,0,
IOTF,,6,681,,0,0,,60,7708,72,94,,41,7027,66,94,,0,0,0,0,,0,0,0,0,
MOLI,,14,642,,0,0,,16,1444,32,224,,17,802,18,226,,0,0,0,0,,0,0,0,0,
MMIX,,20,638,,0,0,,24,1951,63,323,,25,1313,43,325,,0,0,0,0,,0,0,0,0,
SMGR,,174,638,,0,0,,18,638,174,2730,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SSMS,,88,625,,0,0,,13,625,88,1405,,0,0,0,0,,0,0,0,0,,0,0,0,0,
FORE,,30,583,,0,0,,18,693,36,516,,4,110,6,510,,0,0,0,0,,0,0,0,0,
SUNI,,45,562,,0,0,,20,562,45,801,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BREN,,479,553,,0,0,,365,16905,14497,8575,,392,16352,14018,8573,,0,0,0,0,,0,0,0,0,
PPRE,,6,516,,0,0,,41,13317,135,101,,95,12801,129,101,,0,0,0,0,,0,0,0,0,
ANJT,,90,500,,0,0,,11,500,90,1795,,0,0,0,0,,0,0,0,0,,0,0,0,0,
LPCK,,33,500,,0,0,,20,1500,95,630,,5,1000,61,612,,0,0,0,0,,0,0,0,0,
MDIA,,2,500,,0,0,,6,500,2,41,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MKTR,,6,500,,0,0,,2,500,6,128,,0,0,0,0,,0,0,0,0,,0,0,0,0,
NAIK-W,,0,500,,0,0,,16,15259,35,23,,31,14759,35,24,,0,0,0,0,,0,0,0,0,
VERN,,7,476,,0,0,,24,1977,25,128,,23,1501,19,124,,0,0,0,0,,0,0,0,0,
CMNT,,40,469,,0,0,,46,8989,731,813,,26,8520,691,811,,0,0,0,0,,0,0,0,0,
BAIK,,5,450,,0,0,,15,2081,21,99,,18,1631,16,97,,0,0,0,0,,0,0,0,0,
KICI,,6,447,,0,0,,21,811,11,141,,16,364,5,142,,0,0,0,0,,0,0,0,0,
TPIA,,318,420,,0,0,,20,450,341,7573,,4,30,23,7550,,0,0,0,0,,0,0,0,0,
KOTA,,1,401,,0,0,,1,500,2,30,,1,99,0,28,,0,0,0,0,,0,0,0,0,
HUMI-W,,1,400,,0,0,,6,400,1,23,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PYFA-W,,4,400,,0,0,,3,500,5,101,,5,100,1,102,,0,0,0,0,,0,0,0,0,
RATU,,219,389,,0,0,,53,793,446,5624,,31,404,227,5615,,0,0,0,0,,0,0,0,0,
TRIM,,13,371,,0,0,,1,371,13,362,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BEER,,4,364,,0,0,,1,364,4,100,,0,0,0,0,,0,0,0,0,,0,0,0,0,
GULA,,12,350,,0,0,,12,350,12,347,,0,0,0,0,,0,0,0,0,,0,0,0,0,
IMJS,,8,334,,0,0,,8,450,10,232,,1,116,3,230,,0,0,0,0,,0,0,0,0,
TSPC,,73,331,,0,0,,7,331,73,2210,,0,0,0,0,,0,0,0,0,,0,0,0,0,
UNTD,,3,314,,0,0,,16,1307,11,85,,28,993,8,85,,0,0,0,0,,0,0,0,0,
UANG,,40,304,,0,0,,7,304,40,1325,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MNCN,,8,300,,0,0,,16,300,8,254,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PBSA,,26,300,,0,0,,5,300,26,880,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PWON,,10,289,,0,0,,6,289,10,363,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MSIN,,17,285,,0,0,,6,310,19,604,,1,25,2,600,,0,0,0,0,,0,0,0,0,
GUNA,,7,278,,0,0,,4,278,7,236,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BIKE,,29,254,,0,0,,48,3420,357,1045,,78,3166,328,1037,,0,0,0,0,,0,0,0,0,
BBHI,,37,250,,0,0,,6,250,37,1483,,0,0,0,0,,0,0,0,0,,0,0,0,0,
AGRS,,3,249,,0,0,,10,12300,96,78,,136,12051,93,77,,0,0,0,0,,0,0,0,0,
TMAS,,3,215,,0,0,,8,260,4,136,,1,45,1,135,,0,0,0,0,,0,0,0,0,
DFAM,,1,206,,0,0,,4,956,8,80,,5,750,6,83,,0,0,0,0,,0,0,0,0,
SOLA,,2,205,,0,0,,38,8036,112,139,,57,7831,110,140,,0,0,0,0,,0,0,0,0,
ACST,,3,200,,0,0,,2,200,3,135,,0,0,0,0,,0,0,0,0,,0,0,0,0,
GTBO,,4,200,,0,0,,4,200,4,189,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KING-W,,0,200,,0,0,,2,200,0,14,,0,0,0,0,,0,0,0,0,,0,0,0,0,
NAYZ,,2,170,,0,0,,2,170,2,121,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CMNP,,22,160,,0,0,,10,160,22,1369,,0,0,0,0,,0,0,0,0,,0,0,0,0,
NASI,,1,160,,0,0,,5,160,1,87,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CYBR,,15,152,,0,0,,4,152,15,995,,0,0,0,0,,0,0,0,0,,0,0,0,0,
